"Feature ID","Area","Feature","User Story","Expected Behaviour Based on Code","Code Evidence","Current Status","Test Status","Errors / Notes","Last Verified"
"AUTH-001","Authentication","Login gate","As an operator, I want the app locked behind a master password so only authorized users can manage sync profiles.","Without a session token, the UI shows only the password form. Correct password returns a random in-memory session token and stores it in localStorage; wrong password shows an error.","App.tsx handleLogin; server.js /api/login","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified wrong password returns 401 and correct password returns a non-password token. Browser-localStorage behavior still needs UI/browser retest.","2026-07-03"
"AUTH-002","Authentication","Protected API handling","As an authenticated operator, I want expired or invalid sessions to return me to login safely.","Protected /api routes require a valid x-session-token from the active in-memory session set or a bearer master password for API automation. A 401 clears localStorage sync_token and resets session state in App fetches; Settings fetches send auth headers and throw on non-OK responses instead of using error payloads as data.","App.tsx fetchJson; SettingsForm.tsx withAuth/readJson; server.js authenticate","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified protected /api/status returns 401 without a token and 200 with a valid session token. Browser 401 reset behavior still needs UI/browser retest.","2026-07-03"
"DASH-001","Dashboard","Server status header","As an operator, I want to see whether the backend is reachable and which server version is running.","The app polls /api/status every 2 seconds after login and displays Online & Connected or Offline plus server version.","App.tsx status polling; server.js /api/status","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified /api/status payload includes processingProfiles and version after authentication. Visual dashboard state still needs UI/browser retest.","2026-07-03"
"DASH-002","Dashboard","Dashboard/settings navigation","As an operator, I want to switch between monitoring and configuration from the header.","The settings icon toggles between dashboard and settings views without leaving the page.","App.tsx view state and Settings button; scripts/verify-static.mjs","Static verified","Static verified; UI retest required","test:static verifies the dashboard/settings toggle and conditional SettingsForm rendering. Browser click behavior still needs UI retest.","2026-07-03"
"NAV-001","Navigation","External project links","As an operator, I want quick access to the project repository and Actual Budget site.","Header GitHub icon opens the repository in a new tab; footer Actual Budget link opens the Actual Budget website; both external links use rel=noreferrer.","App.tsx header GitHub anchor; App.tsx footer Actual Budget anchor","Fixed - build verified","Passed","Added rel=noreferrer to the GitHub link.","2026-07-03"
"DOC-001","Documentation","Update instructions","As an operator, I want documentation that matches the auto-update behavior so I know how updates handle remote branch history.","README update wording describes fetch-based automatic updates, divergent-history recovery with backup branches, and manual fast-forward update commands instead of saying the app simply uses git pull.","README.md Updates & Maintenance; server.js /api/update","Fixed - build verified","Passed","Documentation now matches the divergent-branch update implementation.","2026-07-03"
"PROFILE-001","Profiles","Profile table","As an operator, I want all sync profiles listed with status, name, target, and actions.","Dashboard table renders each profile, marks Ready, Disabled, or Syncing, and shows empty state when none exist.","App.tsx profiles table; scripts/verify-static.mjs","Static verified","Static verified; UI retest required","test:static verifies the profile table, Ready/Disabled/Syncing labels, and empty-state text. Browser rendering still needs UI retest.","2026-07-03"
"PROFILE-002","Profiles","Select active profile for logs","As an operator, I want selecting a profile to show logs relevant to that profile.","Clicking a row sets activeProfileId and clears stale AI logs; system logs should be filtered by matching bracketed or named profile messages.","App.tsx handleProfileSelect and mergedLogs; scripts/verify-static.mjs","Fixed - static verified","Static verified; UI retest required","test:static verifies mergedLogs returns filteredSystemLogs, recomputes on activeProfileId/config profile changes, clears AI logs on profile selection, and keeps bracket-prefixed profile filtering. Browser row-click behavior still needs UI retest.","2026-07-03"
"PROFILE-003","Profiles","Manual sync","As an operator, I want to start a sync for a selected enabled profile.","Play action posts profileId to /api/sync, disables while processing, surfaces backend trigger errors, and backend rejects missing, unknown, disabled, busy, or incomplete profiles before starting a worker.","App.tsx triggerSync; server.js /api/sync and runSync; scripts/verify-static.mjs","Fixed - runtime preflight verified","Safe runtime preflight passed; external sync not executed","test:runtime-safe verified missing profileId, unknown profile, disabled profile, and incomplete sync config are rejected before worker spawn. test:static verifies the UI alert includes backend trigger error detail. Full Investec/Actual sync still requires external credentials and services.","2026-07-03"
"PROFILE-004","Profiles","Enable or disable profile","As an operator, I want to pause a profile without deleting it.","Dashboard toggle optimistically updates enabled state, saves config, reverts and alerts on persistence failure, and backend schedules only enabled profiles with valid cron expressions. Profiles are treated as enabled unless enabled is explicitly false across dashboard and settings.","App.tsx toggleProfile; SettingsForm.tsx enabled controls; server.js saveConfig/setupCron","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified /api/config persists disabled profile state. Browser optimistic toggle/revert interaction still needs UI retest.","2026-07-03"
"PROFILE-005","Profiles","Delete profile from dashboard","As an operator, I want to remove a profile from the dashboard after confirmation.","Delete prompts for confirmation, optimistically removes the profile, selects the next enabled/available profile if the active one was deleted, persists updated config, and reverts with an alert on failure.","App.tsx deleteProfile; server.js /api/config","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified /api/config persists profile deletion. Browser confirmation, next-profile selection, and failure-revert behavior still need UI retest.","2026-07-03"
"LOG-001","Logs","Live system log console","As an operator, I want live sync and system events visible without refreshing.","The app polls /api/logs while in live mode, tags entries as System, sorts merged logs, and LogConsole auto-scrolls to newest entries.","App.tsx logs polling; server.js /api/logs; LogConsole.tsx; scripts/verify-static.mjs","Fixed - static verified","Static verified; UI retest required","test:static verifies the merged log stream uses filtered system logs and profile-aware dependencies. Browser polling/autoscroll rendering still needs UI retest.","2026-07-03"
"LOG-002","Logs","Actual AI Docker logs","As an operator, I want the selected profile's Actual AI container logs merged into the live console.","If active profile has actualAiContainer, the UI URL-encodes the container name, polls /api/docker/logs every 5 seconds, parses Docker timestamps, tags entries as Actual AI, and merges them chronologically. If Docker is unavailable, backend returns 503 instead of silently returning empty logs.","App.tsx AI log polling; server.js /api/docker/logs; scripts/verify-static.mjs","Fixed - static verified","Static verified; Docker socket permission runtime gap identified","test:static verifies Actual AI log polling, URL-encoded container names, session-token dependency, timestamp parsing, merged log behavior, and explicit Docker unavailable handling. Real Docker log streaming requires Docker socket access for the non-root container user.","2026-07-09"
"LOG-003","Logs","Update history log view","As an operator, I want to review persistent update logs from disk.","The log-mode button switches from live logs to /api/debug/update-log, parses bracketed timestamps, and displays update history; clicking again returns to live logs.","App.tsx fetchUpdateLog; server.js /api/debug/update-log","Fixed - runtime verified","Safe runtime passed","test:runtime-safe verified authenticated /api/debug/update-log returns the expected no-log response in a fresh disposable data directory. Browser log-mode toggle still needs UI retest.","2026-07-03"
